0,715277777777778;Prenom;Titre;Type;Abstract;Jour;Heure_debut;Heure_fin;Num_Session;Titre_Session;Title_Session;Researchgate;Linkedin
Talon;Julien;Significance of a fibrous clay event in the Lutetian-Bartonian deposits (Eocene) of the Paris Basin;Poster;During the Eocene, some major climate events known as hyperthermals following the Paleocene Eocene Thermal Event (PETM), namely the ETM2, ETM3, EECO, LLTM and MECO events are marked by a net increase of temperature and negative carbon isotope excursions highlighting carbon cycle disruptions. Since enhanced continental weathering coupled to an increase of temperature and humidity is observed during most of these events, clay mineralogy and C-isotope geochemistry are useful methods to track such events. We thus investigate these proxies at high resolution in the Le Tillet core (north of Paris) to provide a detailed evolution of clay mineralogy and a first Corg isotope curve spanning the Eocene (Ypresian-Bartonian) to identify possible Eocene hyperthermal events in the Paris Basin.Six successive intervals are recognized based on clay mineralogy. Among them, an episode dominated by fibrous clay minerals (palygorskite and sepiolite) accompanied by smectite and clinoptilolite is recorded during the Lutetian-Bartonian transition (~41 Ma) corresponding to the ?Marnes et Caillasses Formation?. This episode, recognized in other cores and outcrops of the Paris Basin, seems to correspond to the record of an arid climate event in Europe and predates the MECO (Middle Eocene Climatic Optimum) that is marked by the return of more detrital clay mineral and kaolinite input in the basin. Associated to a carbon isotope excursion, this hot and arid episode may correspond to the LLTM event (Late Lutetian Thermal Maximum) previously recognized in the deep oceans.;1;14h20;15h30;Session 1;Pal�o�cologie;Paleoecology;;
Radoua;Abdelmnim;Vectorization of anti-death receptor 4 antibodies on hyperthermia-responsive nanoparticle to increase their therapeutic potential in oncology;Poster;TRAIL (TNF-related apoptosis inducing ligand) derivatives are very promising therapeutic agents in oncology. However, despite encouraging results, clinical assessments of the use of the first generation of TRAIL derivatives, including monoclonal antibodies targeting TRAIL agonist receptors (death receptor 4 or death receptor 5), have all been interrupted, mainly because of a lack of efficacy. The various projects developed within the host team suggest that their poor efficiency is essentially due to an inappropriate formulation. The team has demonstrated for instance that the valency of TRAIL agonists needs first of all to be increased, which can be done using nanoparticles, and that intrinsic resistance can be overcome by mild hyperthermia.Based on this strong result, we aim at demonstrating that the functionalization of conformational anti-DR4 (death receptor 4) antibodies, developed by our team together with Covalab on biocompatible magnetic nanoparticles (Fe3O4) or gold nanoparticles (gold nanorods, GNR), capable of locally and remotely activating moderate hyperthermia by phototherapy approaches based on near infrared (NIR) or electromagnetic fields (EMF), will help increase the anti-tumor potential of our agonist antibodies. We are also planning to find out whether any of these antibodies, formulated as indicated above, may serve as diagnostic markers to detect tumors in vivo.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Bouchard;Alexanne;Glycoprotein-A repetition predominant, a target of interest for SPECT imaging of triple negative breast cancer;Poster;Background: Triple-negative breast cancer (TNBC) is the most aggressive subtype of breast cancer associated with the highest probability of metastasis and a lack of specific targets. Glycoprotein-A repetition predominant (GARP) is expressed at the membrane of cancer cells and regulatory T cells (Tregs) in the tumor microenvironment (TME). GARP plays a critical role in the activation of TGF-? contributing to tumor progression and invasiveness. Further investigation of the modulation of TME and its follow-up by molecular imaging appear as valuable tools due to its central role in TNBC.Methods: Membrane expression of GARP was analyzed in 4T1 cells by flow cytometry. In parallel, eight weeks old BALB/c (n=6) and swiss nude mice (T cell deficient mice, n=6) were injected with 5x104 4T1 cells in the mammary fat pad. Immunohistochemistry was performed on 4T1 tumors to detect the presence of GARP and FoxP3, a marker of Tregs. To design a GARP specific probe for Single-Photon Emission Computed Tomography (SPECT) imaging, a commercial anti-GARP Fab fragment antibody was conjugated with a chelating agent (DOTAGA) for radiolabeling with 111Indium. 111In DOTAGA-Fab-GARP was injected intravenously in BALB/c and swiss nude mice (100?l, 10MBq, 50?g), and mice underwent SPECT imaging at 1h, 4h and 24 post-injection.Results: Our results demonstrated that GARP was expressed by FoxP3+ Tregs and weakly by 4T1 cancer cells suggesting that GARP may be essentially expressed by Tregs in the TME. SPECT imaging showed an increase in 111Indium-Fab-GARP uptake in tumors of BALB/c mice compared with nude mice demonstrating the specificity of our probe for Tregs.Conclusion: In vivo molecular SPECT imaging targeting GARP, could represent an interesting approach to determine tumor aggressiveness, treatment options and therapeutic responses, in a non-invasive, rapid and personalized manner.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Renaude;Elodie;Epigenetic reprogramming of tumor infiltrating lymphocytes from liver metastases;Poster;The different subpopulations of CD4+ helper T cells (CD4+ Th) present in the tumor microenvionment such as Th1 and Th17 cells can affect differently the prognosis of patients. Numerous studies described the beneficial role of Th1 cells infiltration in the tumor. Moreover, previous work in our lab associated the presence of Th17 cells in liver metastases of colorectal cancer with a poor prognosis.Th17 cells are characterized by their plasticity and can differentiate into Th1 cells thanks to epigenetics. Epigenetic modifications such as DNA methylation and post-translational histone modifications play an important part in the regulation of CD4+ Th differentiation and plasticity. However, the role of epigenetics on the antitumor specific immune responses remains poorly characterized.To bring answer to this issue, our team is investigating the role of epigenetics in tumor reactive CD4+ Th cells differentiation and plasticity. We performed a screening of 360 epigenetic regulators by flow cytometry and discovered a molecule that can decrease the proportion of Th17 cells and increase the proportion of Th1 cells in healthy donors.Modulating CD4+ Th cells polarisation in the tumor microenvironment by epigenetic drugs could offer new insights in anticancer therapy. The rest of our work will focus on understanding the epigenetic mechanisms allowing the plasticity of Th17 and Th1 cells. We aim to test our molecule in a mouse model of cancer in order to increase the effectiveness of anticancer immunotherapy treatment.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
El Baba;Ranim;Oncogenic, stemness and polyploid giant cancer cells phenotype in mammary epithelial cells infected with high-risk human cytomegalovirus;Poster;Over the last decade, human cytomegalovirus (HCMV) infection has been increasingly implicated in carcinogenesis besides its oncomodulatory impact. Two high-risk HCMV strains, DB (KT959235) and BL (MW980585), previously isolated in our laboratory transformed human mammary epithelial cells (HMECs) into CMV-Transformed HMECs (CTH) cells, prompted an oncogenic phenotype, induced stemness traits, and generated breast tumors in mice models. CTH heterogeneous cell population phenotype might be described by the dynamic cellular reprogramming and the giant cell cycling, where the induction of polyploid giant cancer cells (PGCCs) could expedite the acquisition of malignant phenotype. Further, two HCMV strains isolated from triple-negative breast cancer (TNBC) biopsies were shown to replicate in MRC5 cells and transformed HMECs toward CTH cells. The explicit oncogenic and stemness signatures of the high-risk HCMV strains highlight the oncogenic potential of HCMV in breast cancer evolution thus paving the way for novel therapeutic agents and clinical interventions which will extend the overall survival of breast cancer patients.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Perus;Maude;Omega-3/Resveratrol combination (Resvega ) reduces angiogenesis axis and oxidative stress in in vitro models of Age-related Macular Degeneration (AMD);Poster;"Age-related macular degeneration (AMD) is an eye disease, which targets the macula and thus impairs vision in the center of the visual field, and affects around 200 million persons in the world. During the last decades, despite recent advances in understanding the role of oxidative stress and excessive production of vascular endothelial growth factor (VEGF) for AMD initiation and progression, therapeutic advances still face many challenges. Although intravitreal injections of VEGF inhibitors has become the standard treatment for neovascular AMD, many patients do not respond adequately to this therapy or experience a slow loss of efficacy of anti-VEGF agents after repeated administration. Additionally, current treatment with intravitreal anti-VEGF agents is associated with a significant treatment burden for patients, caregivers, and physicians. In quest of identifying novel therapeutic candidates for AMD, our study explored whether supplementation with Resvega®, a nutraceutical formulation composed of omega-3 fatty acids and resveratrol, a polyphenol in grapes, was able to counteract VEGF/VEGFR-2 axis, in context of AMD. We highlight that Resvega® significantly reduced VEGF production in ARPE-19 human retinal pigment epithelial cells. This effect is directly linked to the Resvega®-mediated relocation of VEGFR-2 in lipids rafts (LR), which favors, interaction between the LR marker protein caveolin-1 (CAV-1) and VEGFR-2, leading in turn the decrease of VEGFR-2 phosphorylation and down-stream signaling. The impact of Resvega® is exclusively dependent of LR as depletion of LR with cyclodextrin blocked the VEGFR-2/CAV-1 interaction and Resvega®-mediated impaired VEGF production. Interestingly, we highlight that Resvega® decreases H202-induced ROS production, which is an
important contributor to the pathogenesis of AMD. These new mechanisms highlighted in this study, must be confirmed in vivo models of AMD.
Funding: This work was supported by grants from the ANRT N_2016/0003, by a French Government grant managed by the French National Research Agency under the program “Investissements d’Avenir”, reference ANR-11-LABX-0021, the Conseil Régional Bourgogne, Franche-Comte (PARI grant) and the FEDER (European Funding for Regional Economic Development).";2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Dogon;Geoffrey;Exogenous Growth differentiation factor 15 (GDF15) exerts direct cardioprotective properties towards myocardial ischemia reperfusion injury;Poster;Growth Differentiation Factor 15 (GDF15) is a stress-responsive cytokine which can be produced under certain pathological situations, mainly related to inflammatory stress, aging and disease. While clinical data suggest that GDF15 is a powerful risk factor in several high cardiovascular risk situations, experimental studies rather consider this cytokine as a cardioprotective molecule.We therefore aimed to clarify the direct cardiac effects of GDF15 during ischemia-reperfusion (I-R), at concentrations found in patients with high cardiovascular risk.In vivo ischemia reperfusion: Wistar male rats (200-340 g) were anesthetized with isoflurane and injected with either saline or 2.5 ?g/kg of GDF15, 20 minutes before the transient ligation of the left anterior descending artery for 30 min followed by 24h of reperfusion.Ex vivo ischemia reperfusion: Wistar male rats (250-400 g) were anesthetized with isoflurane before their hearts were isolated and perfused in a Langendorff model. Hearts were perfused either with saline or 2,000 ng/L of GDF15 upstream the coronary bed for 10 minutes, then subjected to 30 minutes of global normothermic ischemia, followed by 2 h of reperfusion.GDF15 decreased the infarct size in vivo (42.4 � 6 % vs. 65.3 � 4.5 %, p<0.01) as well as in ex vivo (45.6 � 3.8 % vs. 60.8 � 3.8 %, p<0.05). Moreover, in our ex vivo model, GDF15 induced a better recovery of most contractile parameters after ischemia (higher left ventricular developed pressure, better heart rate recovery, better recovery in left ventricular contractility and relaxation, p<0.05 for all parameters).These results demonstrate for the first time that exogenous preischemic short-term administration of GDF15 decreased cardiac cell death in vivo and also ex vivo, a situation where inflammatory, endocrine and nervous systems are not interfering. These original results suggest that GDF15 exerts direct cardioprotective properties towards ischemia-reperfusion injury. The molecular mechanisms have now to be investigated.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Sikner;Hugo;Inhibition of Gp96 as anti-fibrotic strategy in Idiopathic pulmonary fibrosis and its monitoring by Fibroblast Activation Protein in vivo imaging;Poster;Background: Idiopathic pulmonary fibrosis (IPF) is a progressive disease characterized by excessive Extracellular Matrix production (ECM) deposition in the lung leading to functional decline. Under the influence of pro-fibrotic cytokines such as TGF-?1, lung cells acquire a myofibroblastic phenotype which express the fibroblast activation protein (FAP) and play an important role in ECM deposition. Treatment options in IPF are limited and can only delay disease progression without stopping it. Gp96 is a chaperone protein overexpressed during fibrosis.Gp96 inhibition may be of interest in IPF and we hypothesize that in vivo imaging of myofibroblasts via FAP could allow monitoring of the efficacy of this therapy.Methods: Eight weeks old C57BL/6 mice received a single intratracheal administration of bleomycin (BLM, 1.5 mg/kg, n=6) to induce lung fibrosis or Nacl (n=6) for control group. Immunohistochemistry was performed on lung slices of this model to detect FAP expression. Proximity ligation assay (PLA) was used to study protein-protein interactions between Gp96 and FAP on A549 cell (epithelial cell) treated with TGF-?1 and pu-ws13, a functional inhibitor of Gp96. A FAP specific imaging probe was designed based on a fragment of a commercial antibody coupled with a chelating agent (DOTAGA) for radiolabelling with 111Indium for Single-photon emission computed tomography (SPECT) imaging. 111In-DOTAGA-Fab-FAP was injected intravenously in C57BL/6 mice (100?l, 10MBq, 25?g). Mice underwent SPECT imaging at 1h, 4h and 24h post-injection.Results: Our results demonstrated FAP upregulation in the lung of our model. Moreover, PLA demonstrated an interaction between Gp96 and FAP reduced by pu-ws13. SPECT imaging showed a statistically higher uptake of 111Indium-Fab-FAP in the lungs of fibrotic mice versus control mice.Conclusion: Inhibition of Gp96 represents an innovative anti-fibrotic strategy and in vivo imaging of myofibroblasts via FAP appear able to monitor the efficacy of this therapy in our IPF model.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Chatturong;Usana;Vasorelaxant effect of 2 new N2,N4?diaminoquinazoline analogs on rat isolated intrapulmonary arteries and mechanisms involved;Poster;While phosphodiesterase?5 (PDE5) inhibitors, such as sildenafil, are ?gold standard? for treatment of pulmonary arterial hypertension (PAH), they induce side effects secondary to their vasorelaxant effect on systemic vasculature such as hypotension, headache or nasal congestion. We developed new N2,N4?diaminoquinazoline analogs as PDE 5 inhibitors and identified 2 compounds (ID5 and ID11) with a high PDE5 inhibitory activity and vasorelaxant effects on pulmonary artery. The present study aimed to determine the mechanisms involved in their relaxant effect on IPA, to check their lack of vascular smooth muscle cell (VSMC) cytotoxicity and to determine if they had a relaxant effect on the systemic vasculature, as compared to sildenafil. Vascular function was studied in rat isolated IPA (pulmonary vasculature), aorta and second-order mesenteric arteries (SMA) (systemic vasculature). Cytotoxicity was measured in rat VSMC using MTT assay. ID5 and ID11 had more potent vasorelaxant effect on IPA compared to aorta (p<0.001), while sildenafil was not different between IPA and aorta. In SMA, ID5 and ID11 induced less relaxation compared to sildenafil (p<0.01). The relaxation to ID5, ID11 was reduced by endothelial removal, nitric oxide (NO) synthase inhibitor or guanylate cyclase inhibitor (p<0.0001) but not by cyclo-oxygenase or K+channels inhibitors in IPA. ID5 and ID11 enhanced sodium nitroprusside-induced IPA relaxation, suggesting PDE5 inhibition. Both compounds inhibited extracellular Ca2+ influx and intracellular Ca2+ release (p<0.001). ID5 and ID11 had no cytotoxicity on VSMCs whereas sildenafil at 100?M for 1h reduced IPA VSMC viability (p<0.05). In summary, ID5 and ID11 possess more selectivity on pulmonary circulation over systemic circulation than sildenafil and do not induce vascular cytotoxicity. Besides acting on PDE5 and calcium fluxes in VSMC, they also enhance endothelial function through NO-dependent mechanisms. Thus, they could be potential leads for developing new PAH therapeutics.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Tahri-Joutey;Mounia;Impact of peroxisomal ?-oxidation deficiencies on lysosome and autophagy in microglial cells;Poster;Deficiencies in acyl-CoA oxidase 1 (ACOX1), the first rate-limiting enzyme of the peroxisomal ?-oxidation, or in ATP Binding Cassette D1 (ABCD1), one of the peroxisomal fatty acids transporters, are rare and severe peroxisomal neurodegenerative diseases. Such deficiencies are associated with defects in degradation of fatty acids (VLCFA, PUFA) by ?-oxidation in peroxisomes, which leads to the accumulation of VLCFA in plasma and tissues, glial dysfunction and neurodegeneration.CRISPR/Cas9-engineered microglial cell lines deficient in ACOX1, ABCD1, ABCD2 or both ABCD1 and ABCD2 were used as cell models to investigate the dysregulation of cellular pathways triggered by lipid accumulation. Transcriptomic analyses (RNA-Seq), Western blot, GC-MS analysis, as well as phagocytosis function tests were performed to better understand the physiopathogenesis linked to these peroxisomal deficiencies.Our analyses show biochemical defects and lipid content changes in mutant cells, as well as an overexpression of several lysosomal and autophagy related genes at post-transcriptional and post-translational levels. Furthermore, experiments conducted with fluorescent beads reveal a remarkable change in the phagocytosis ability of mutant BV-2 cells compared to the wild type. Altogether, we suggest that a defect in peroxisomal fatty acid ?-oxidation in microglial cells impacts phagocytosis, lysosomal function and autophagy process in microglial cells. Further experiments are needed to strengthen our understanding of these major cellular processes lying behind these significant cellular changes, and to aid in the development of new treatments for such rare human diseases.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Lagorgette;Lisa;The role of Wip1 in neutrophil functions;Poster;Every day, organisms are exposed to injuries that induce many cellular responses. One of the major consequences of these stresses is the induction of DNA damage, which involves a lot of proteins and cellular signaling such as the p53 cellular pathway. The protein Wip1 is a phosphatase that regulates negatively the p53 pathway and controls many cellular mechanisms. Recently, we have demonstrated the role of Wip1 in tumor infiltrating neutrophils through genetic deletion of its chemical inhibition ability involved in anti-tumor phenotypes and tumorigenesis suppression. Representing the biggest part of immune cells in the human blood, neutrophils play a key role in homeostasis and immunity. NETosis, a type of cell death that contributes to the host defense against pathogens, has been linked to various diseases soon after its first description in 2004. During NETosis, neutrophils release neutrophil extracellular traps (NETs), which consist of modified chromatin decorated with bactericidal proteins originating form granules and from the cytoplasm. Considering that Wip1 is induced by DNA damage and its role in neutrophils, studying the role of Wip1 in NETosis mechanisms makes sense. Here, neutrophils from blood donors were isolated and treated with PMA in presence or absence of Wip1 inhibitor. After having quantified NETosis with several methods, Wip1 inhibition seemed to enhance NETosis in presence of PMA. These findings from our in vitro model need to be verified in Wip1 KO mice, and in physiological and pathological contexts where neutrophils play a significant role, such as cancer or inflammatory diseases like fibrosis.;2;11h50;12h50;Session 2;Maladies et Cancers;Diseases and Cancers;;
Baraille;Marylou;Comparison of in vitro fibrolytic capacity of the large intestinal microbiota in aged versus adult horses;Poster;Plant cell walls play an essential role in the horse?s nutrition. They are degraded by the microbiota that inhabit the large intestine. In humans, aging is correlated with changes in gut microbiota structure and diversity. Such modifications in aged horses could affect plant cell walls degradation, and consequently impair the hosts? nutrition and general condition. The objective of this in vitro study was to compare the intestinal fibrolytic function of aged versus adult horses.Eight aged (26 � 3 years) and eight adult (7 � 1 years) healthy horses were fed an identical diet (26 % concentrate and 74 % forage) for 3 weeks before faeces were collected. Individual faecal inoculum was added to vials containing a fibrous substrate. Microbial fermentation was evaluated at different times (T) for 72 hours (T72) by measurement of gas production, pH, and dry matter (DM) disappearance. A mixed procedure was performed to assess the effects of age, time, and their interaction. The significance threshold was set at P ? 0.05.Cumulative gas production was higher for aged than for adult horses at T48 (P = 0.0076), T60 (P = 0.0010), and T72 (P = 0.0008). In parallel, pH was lower for aged than for adult horses at T72 (P = 0.0042), and DM disappearance was higher for aged than for adult individuals at T48 (P = 0.0168) and T72 (P = 0.0372).These results suggest that, contrary to our hypothesis, the large intestinal microbiota of aged horses has a more efficient fibrolytic function than that of adults. With aging, a selection of the most effective microorganisms may have occured. These first results will be completed with data obtained in vivo in order to assess other differences between the digestion and metabolism of aged versus adult horses.;2;11h50;12h50;Session 2;Microbiologie;Microbiology;;
Vasseur;Maximilien;Relations between hindgut microbiota fibrolytic efficiency and physical performance in equine athletes;Poster;"During short duration exercise in the horse, muscles mostly use glucose and short-chain fatty acids (SCFA) as energy substrates. Blood SCFA mainly originate from dietary fibers degradation by the microbial communities located in the hindgut. When blood SCFA concentration increases, glucose contribution to energy metabolism decreases, which results in lower lactate production and delayed metabolic acidosis. Hindgut fibrolytic efficiency could play a crucial role in horse?s performance by enhancing SCFA production. This experiment aimed at assessing the relationship between in vitro fibrolytic efficiency of individual hindgut microbiota and running performance.Seventeen trained 2 years old French trotters with similar feeding and training regimen were included in this experiment. Individual faecal samples were collected and added in bottles containing a dilution medium and hay as substrate. Gas production was measured in each bottle during 48h (T0 to T48) anaerobic fermentation. In parallel, horses performed a 2300 m racing like test at maximum capacity. Mean and maximal running speeds and fermentation parameters were correlated using calculation of Pearson correlation coefficients.Mean speed during the 2300m test tended to be correlated with cumulative gas production at T36 (r=0.466; P=0.068) and is significatively correlated with gas production at T48 (r=0.517; P=0.048). No relationship was found between maximal speed during the 2300m test and fermentation parameters.These first results suggest that horses whose faecal microbiota produced a higher amount of gas could have better racing performance. As hay was the only substrate in bottles, a higher gas production after 36 or 48 h of fermentation probably reflected a better fibrolysis and a higher SCFA production, confirming that hindgut fibrolytic efficiency could be related to horse performance. Further studies should explore in vivo the link between these fermentation parameters, blood metabolites and performance.";2;11h50;12h50;Session 2;Microbiologie;Microbiology;;
Pheng;Th?-Thanh-Trec;Selection of encapsulation materials for protection and colonic delivery of extremely oxygen sensitive probiotics;Poster;Colonic administration of extremely oxygen sensitive probiotics with agreeable barrier properties of encapsulating materials is a matter of great concern. There have been many previous studies on certain biopolymers. However, the comparison, evaluation and selection of materials for probiotic encapsulation is difficult because the results of the different studies were not carried out under the same experimental conditions. Therefore, this study was conducted simultaneously on many different polysaccharides (hydroxypropyl methyl cellulose, methyl cellulose, hydroxypropyl cellulose, chitosan, lowmethoxylated pectin, kappa-carrageenan, sodium alginate and pullulan) to provide compelling conclusions for the selection of encapsulating materials based on oxygen and water vapor barrier properties and release profiles of the core materials from polymer matrices in the gastrointestinal tract. The results revealed that chitosan, low-methoxylated pectin, kappacarrageenan, sodium alginate and pullulan films exhibited good oxygen barrier properties to protect strictly obligate anaerobes. Among all the polymers tested, sodium alginate exhibited the best oxygen barrier properties and release profile. The release kinetics can be modulated by several factors including polymer type, plasticizer concentration and active molecules or bacteria to be encapsulated. On that basis and integrating the other parameters analyzed, a multicriteria strategy for probiotic encapsulation was proposed.;2;11h50;12h50;Session 2;Microbiologie;Microbiology;;
Martinho De Brito;Marlisa;The role of EPS in carbonate precipitation during picoplankton blooms: Combining laboratory and field studies;Poster;Extracellular polymeric substances (EPS) are complex macromolecules involved in different processes such as biofilm formation and mineral precipitation. EPS is produced during microbial growth, and the amount and the proprieties depend on environmental conditions, such as nutrients, light, and pH. Excessive production of EPS can occur during phytoplankton blooms under nutrient or light limitation. High rates of CO2 uptake during blooms increase the pH, in some cases (e.g., freshwater systems) reaching values of 9-11. At high pH conditions, negatively charged functional groups in EPS bind Ca2+ ions and support formation of CaCO3 crystals. Late-exponential phase of cyanobacterial blooms (e.g. Synechococcus) might coincide with massive carbonate precipitation events in freshwater lakes. The mechanisms involved in the bacterial carbonate precipitation focuses predominantly on inorganic carbon metabolism and the role of EPS has been largely ignored. In this study, we investigate the seasonality of cyanobacterial EPS production and its potential role in CaCO3 precipitation. Our site is a slightly-alkaline freshwater lake in the French Jura, Lac d?Ilay (46.625825N, 5.8966637E).EPS properties, including the role in carbonate precipitation, were investigated in shallow water samples. Microscopic analysis of lake water revealed the presence of coccoid cyanobacteria (<2?m) clustered in concentric layers of mucilage (<10?m). Precipitation of ?m- and nm-size CaCO3 crystals attached to the EPS matrix were also observed in water samples from the lake. The EPS yield in the upper water column was 1.4�0.1mg EPS.L-1. The total sugar content was 2-3 times higher than protein content and glycosaminoglycans contributed with 8-14% of total EPS. Alcian Blue staining of polyacrylamide gels revealed negatively-charged functional groups in molecules of high molecular weight (>170kDa). Forced CaCO3 precipitation experiments revealed that total crystals formed decrease with increasing EPS concentration. We are presently continuing this work by investigating EPS properties during seasonal picoplankton growth. We hypothesize that in addition to cyanobacterial CO2 fixation, EPS play a critical role in carbonate precipitation and thus potentially contribute to the carbon budget in freshwater lakes.;2;11h50;12h50;Session 2;Microbiologie;Microbiology;;
Gaillot;Susie;Cloning and characterization of ADC variants found in clinical Acinetobacter baumannii strains;Poster;The emergence of antibiotic resistance is a concerning health problem. The World Health Organisation classified the most threatening species under the name ESKAPE. Among them, Acinetobacter baumannii, a Gram-negative bacterium responsible for health-care associated infections, is highly capable of developing antibiotic resistance. A. baumannii naturally produces an enzyme called ADC, which is chromosomally encoded and hydrolyses few beta-lactams. The main mechanism leading to resistance to expanded-spectrum cephalosporins (normally active against A. baumannii) is the overproduction of ADC. Multiple ADC-variants have been identified but little is known about the impact of the amino-acid substitutions on their hydrolytic properties.In this study, we assessed the resistance phenotypes of 9 distinct ADC variants by cloning the corresponding genes in a pABEC plasmid then transformed in the recipient strain A. baumannii CIP70.10?ADC. Minimal Inhibitory Concentrations (MICs) of selected antibiotics (ticarcillin, cefepime, cefotaxime, ceftazidime, piperacillin/tazobactam, meropenem, imipenem, and cefiderocol) were determined using the standard microdilution method.Overproduction of all the ADC-variants leads to higher MICs of ticarcillin, cefepime, cefotaxime, ceftazidime, and piperacillin/tazobactam compared to those obtained for the reference strain. In addition, one variant (ADC-256) displayed a decreased susceptibility to meropenem (MIC increasing from 0,125 to 8 ?g/ml). Another variant (ADC-33) was also the only enzyme to show a decreased susceptibility to cefiderocol (MIC ranging from 0,5 to 2 ?g/ml).Analysis of the amino-acid sequence of ADC-33 revealed that this variant possessed a substitution located in the ?-loop, a region close to the active site, that could therefore have an impact on cefiderocol decreased susceptibility. This is worrisome considering this antibiotic has just recently been accepted on the market. This study highlights the importance of the overproduction of ADC inexpanded-spectrum cephalosporins and revealed that some amino-acid substitutions in those intrinsic beta-lactamase could directly be involved in the antibiotic resistance phenotype.;2;11h50;12h50;Session 2;Microbiologie;Microbiology;;
Etchart;Lea;Incubation behaviour and importance of extended recesses in an Arctic shorebird: The sanderling (Calidris alba);Poster;Sanderling shorebirds (Calidris alba) undertake a spectacular long migration to reach the Arctic where they breed during the short summer. In this harsh and unpredictable environment, incubation is challenging due to high energetic demands and variable resource availability. Incubating adults hence face a time allocation compromise between parental care to their eggs (maintenance of optimal thermal environment and nest protection) and feeding away from the nest to meet their own energetic needs (recesses). Recesses durations are known to be highly variable between individuals, with a mean duration of eight minutes. Until recently, extended incubation recesses where incubating shorebirds are away from nests for periods much longer than usual (period of time superior to one hour), were considered to occur infrequently. Although there is growing evidence that extended recesses would not be so rare, their quantification and determinants remain poorly documented. By monitoring the incubation behaviour, we are studying the incubation strategy and more specifically the importance of extended incubation recesses as well as their causes and consequences.;2;11h50;12h50;Session 2;Divers;Miscellaneous;;
Sidous;Mellina;Assessing predation risk of arctic fox and other terrestrial predators on sandpiper (Calidris spp) nests in the arctic tundra;Poster;"The arctic fox (Vulpes lagopus) is recognized as the main terrestrial predator on most tundra?s ecosystems. It relies heavily on small rodents such as lemmings for breeding, but also consumes a variety of alternative food sources when available (e.g., bird eggs or carrion). Changes in arctic fox behavior and demography induced by lemming population cycles may alter predation pressure on incidental (or ""accidental"") prey, such as Calidris nests, consumed opportunistically when encountered.Since predation by arctic fox is supposed to be the main driver of Calidris nests failure in the arctic, the estimation of its rate has received a lot of attention. However, it is often difficult and time consuming to find and monitor natural nests, which usually results in analysing only small sample sizes. Other protocols have thus been proposed to estimate predation risk, e.g. artificial nests or observational data of predators. Our goal is to assess whether these two protocols are efficient to estimate trends of predation risk on Calidris nests across years that are characterized by varying abundance of alternative and primary prey of the arctic fox. Using artificial nests (including ?covered? ones, supposed to be only predated by foxes) and observational data (of arctic foxes and other predators like skuas, gull, raven, etc), we tested whether Calidris nests failure rate was better explained by artificial nests or observational data with capture recapture analysis. Our data also allowed us to test if nest survival is actually more related to index of fox predation risk than other predators, as often believed in the literature. Here we present the first results of this joint initiative and its future challenges.";2;11h50;12h50;Session 2;Divers;Miscellaneous;;
Cramoisy;Stephanie;Chronic corticosterone administration in mice alters behavioural strategy implementation by modifying striatal-dependent motor and cognitive activity;Poster;Chronic corticosterone administration (CCA) mimics excessive activation of the hypothalamo-pituitary-adrenal axis in rodents, resulting in a pathological phenotype commonly used to model human distress-related disorders such as anxiety and depression. Previous studies conducted in our laboratory demonstrated that CCA negatively impacts motor and cognitive processes in mice, and leads to suboptimal decision-making in particular. However, further investigation is needed to better characterize these impairments. The present study further evaluated the consequences of CCA on the balance between habits and goaldirected behavioural strategies in adult C57BL/6JRJ male mice. Dorsal striatum-dependent habit learning was assessed using a cross-maze-based single-solution paradigm (response learning) and a rotarod motor learning task. Thereafter, a dual-solution task (place learning) enabled additional examination of the balance between striatum and hippocampus-dependent strategies. Since behavioural control necessary for adaptive decision-making is supported by both learning processes, this study will allow identify the approach distressed mice mostly rely on: a striatum-based egocentric strategy or a hippocampus-based allocentric one. Our preliminary data indicate that CCA leads to delayed striatum-dependent learning in both the motor and response learning tasks, in line with a delayed behavioural initiation during the decision-making process. Furthermore, the indecision observed in some distressed mice could refer to a difficulty in implementing a decision-making strategy. Thus, our results support that CCA modulates learning by regulating the striatum-hippocampal balance. Imbalanced striatum-hippocampus-dependent behavioral strategies might therefore underlie aberrant decision-making induced by chronic distress in pathological conditions.;2;11h50;12h50;Session 2;Divers;Miscellaneous;;
